agent,phase,accuracy,answer_stability,correct_to_incorrect_flip_rate,incorrect_to_correct_flip_rate
M,base,0.28,,,
M,d1,0.5,0.5,0.01,0.23
M,d2,0.57,0.65,0.02,0.09
M,d3,0.55,0.83,0.04,0.02
M,d4,0.53,0.64,0.09,0.07
M,d5,0.5,0.79,0.05,0.02
P,base,0.18,,,
P,d1,0.51,0.23,0.01,0.34
P,d2,0.52,0.69,0.05,0.06
P,d3,0.52,0.85,0.03,0.03
P,d4,0.48,0.66,0.09,0.05
P,d5,0.46,0.82,0.04,0.02
Q,base,0.53,,,
Q,d1,0.53,0.74,0.04,0.04
Q,d2,0.53,0.73,0.04,0.04
Q,d3,0.53,0.85,0.03,0.03
Q,d4,0.48,0.69,0.08,0.03
Q,d5,0.46,0.84,0.04,0.02
