agent,phase,accuracy,answer_stability,correct_to_incorrect_flip_rate,incorrect_to_correct_flip_rate
M,base,0.2,,,
M,d1,0.3,0.43333333333333335,0.0,0.1
M,d2,0.36666666666666664,0.8333333333333334,0.0,0.06666666666666667
M,d3,0.36666666666666664,0.8333333333333334,0.0,0.0
M,d4,0.3333333333333333,0.9,0.03333333333333333,0.0
M,d5,0.3333333333333333,0.9333333333333333,0.0,0.0
P,base,0.16666666666666666,,,
P,d1,0.2,0.3333333333333333,0.03333333333333333,0.06666666666666667
P,d2,0.4,0.5333333333333333,0.0,0.2
P,d3,0.4,0.7333333333333333,0.0,0.0
P,d4,0.3333333333333333,0.5666666666666667,0.1,0.03333333333333333
P,d5,0.3,0.8,0.03333333333333333,0.0
Q,base,0.3,,,
Q,d1,0.3333333333333333,0.5333333333333333,0.03333333333333333,0.06666666666666667
Q,d2,0.4,0.5,0.0,0.06666666666666667
Q,d3,0.3,0.6,0.1,0.0
Q,d4,0.3333333333333333,0.6333333333333333,0.03333333333333333,0.06666666666666667
Q,d5,0.26666666666666666,0.6333333333333333,0.06666666666666667,0.0
